start	end	type	role
19995	Action	GENRE
19995	Adventure	GENRE
19995	Fantasy	GENRE
19995	Science Fiction	GENRE
194	Fantasy	GENRE
194	Drama	GENRE
194	Comedy	GENRE
194	Romance	GENRE
194	Foreign	GENRE
600	Drama	GENRE
600	History	GENRE
600	War	GENRE
600	Foreign	GENRE
601	Drama	GENRE
601	Family	GENRE
601	Science Fiction	GENRE
602	Action	GENRE
602	Adventure	GENRE
602	Science Fiction	GENRE
603	Adventure	GENRE
603	Action	GENRE
603	Thriller	GENRE
603	Science Fiction	GENRE
604	Adventure	GENRE
604	Action	GENRE
604	Thriller	GENRE
604	Science Fiction	GENRE
605	Adventure	GENRE
605	Action	GENRE
605	Thriller	GENRE
605	Science Fiction	GENRE
606	Drama	GENRE
606	Romance	GENRE
607	Action	GENRE
607	Adventure	GENRE
607	Comedy	GENRE
607	Science Fiction	GENRE
608	Action	GENRE
608	Adventure	GENRE
608	Comedy	GENRE
608	Science Fiction	GENRE
609	Horror	GENRE
13	Comedy	GENRE
13	Drama	GENRE
13	Romance	GENRE
20526	Adventure	GENRE
20526	Action	GENRE
20526	Thriller	GENRE
20526	Science Fiction	GENRE
20526	Family	GENRE
11	Adventure	GENRE
11	Fantasy	GENRE
11	Action	GENRE
11	Science Fiction	GENRE
11	Family	GENRE
1893	Adventure	GENRE
1893	Fantasy	GENRE
1893	Action	GENRE
1893	Science Fiction	GENRE
1893	Family	GENRE
1892	Adventure	GENRE
1892	Fantasy	GENRE
1892	Action	GENRE
1892	Science Fiction	GENRE
1892	Family	GENRE
1894	Adventure	GENRE
1894	Fantasy	GENRE
1894	Action	GENRE
1894	Science Fiction	GENRE
1894	Family	GENRE
168	Adventure	GENRE
168	Action	GENRE
168	Science Fiction	GENRE
168	Family	GENRE
193	Science Fiction	GENRE
193	Action	GENRE
193	Mystery	GENRE
200	Science Fiction	GENRE
200	Action	GENRE
200	Adventure	GENRE
157	Adventure	GENRE
157	Action	GENRE
157	Science Fiction	GENRE
157	Family	GENRE
152	Adventure	GENRE
152	Action	GENRE
152	Science Fiction	GENRE
152	Family	GENRE
201	Science Fiction	GENRE
201	Action	GENRE
201	Adventure	GENRE
154	Adventure	GENRE
154	Action	GENRE
154	Science Fiction	GENRE
154	Family	GENRE
12155	Adventure	GENRE
12155	Fantasy	GENRE
12155	Science Fiction	GENRE
12155	Family	GENRE
58	Adventure	GENRE
58	Fantasy	GENRE
58	Action	GENRE
58	Comedy	GENRE
58	Science Fiction	GENRE
285	Adventure	GENRE
285	Fantasy	GENRE
285	Action	GENRE
285	Comedy	GENRE
285	Science Fiction	GENRE
118	Adventure	GENRE
118	Fantasy	GENRE
118	Comedy	GENRE
118	Science Fiction	GENRE
118	Family	GENRE
22	Adventure	GENRE
22	Fantasy	GENRE
22	Action	GENRE
22	Comedy	GENRE
22	Science Fiction	GENRE
392	Comedy	GENRE
392	Drama	GENRE
392	Foreign	GENRE
392	Romance	GENRE
5255	Adventure	GENRE
5255	Animation	GENRE
5255	Family	GENRE
5255	Holiday	GENRE
568	Drama	GENRE
568	History	GENRE
568	Disaster	GENRE
9800	Drama	GENRE
9800	Mystery	GENRE
497	Fantasy	GENRE
497	Drama	GENRE
497	Science Fiction	GENRE
101	Action	GENRE
101	Thriller	GENRE
101	Crime	GENRE
101	Foreign	GENRE
120	Adventure	GENRE
120	Fantasy	GENRE
120	Action	GENRE
120	Science Fiction	GENRE
121	Adventure	GENRE
121	Fantasy	GENRE
121	Action	GENRE
121	Science Fiction	GENRE
122	Adventure	GENRE
122	Fantasy	GENRE
122	Drama	GENRE
122	Action	GENRE
122	Science Fiction	GENRE
65731	19995	ACTED_IN	Jake Sully
8691	19995	ACTED_IN	Neytiri
10205	19995	ACTED_IN	Dr. Grace Augustine
32747	19995	ACTED_IN	Col. Quaritch
17647	19995	ACTED_IN	Trudy Chacon
59231	19995	ACTED_IN	Norm Spellman
1771	19995	ACTED_IN	Selfridge
30485	19995	ACTED_IN	Moha
10964	19995	ACTED_IN	TsuTey
15853	19995	ACTED_IN	Eytukan
95697	19995	ACTED_IN	Dr. Max Patel
98215	19995	ACTED_IN	Lyle Wainfleet
98216	19995	ACTED_IN	Samson Pilot
2405	194	ACTED_IN	Amélie Poulain
2407	194	ACTED_IN	Raphaël Poulain
2408	194	ACTED_IN	Lucien
1654	194	ACTED_IN	Suzanne
2412	194	ACTED_IN	Georgette
2413	194	ACTED_IN	Joseph
2414	194	ACTED_IN	Hipolito
2415	194	ACTED_IN	Madeleine Wallace
2409	194	ACTED_IN	Amandine Poulain
2410	194	ACTED_IN	Raymond Dufayel
2411	194	ACTED_IN	Gina
2416	194	ACTED_IN	Mr. Collignon
2417	194	ACTED_IN	Dominique Bretodeau
2406	194	ACTED_IN	Nino Quincampoix
8654	600	ACTED_IN	Pvt. Joker
2059	600	ACTED_IN	Animal Mother
7132	600	ACTED_IN	Pvt. Pyle
8655	600	ACTED_IN	Gny. Sgt. Hartman
8656	600	ACTED_IN	Eightball
8657	600	ACTED_IN	Rafterman
3229	600	ACTED_IN	Pvt. Cowboy
8658	600	ACTED_IN	Lt. Touchdown
8659	600	ACTED_IN	Lt. Lockhart
8660	600	ACTED_IN	Crazy Earl
8661	600	ACTED_IN	Payback
8662	600	ACTED_IN	Doorgunner
8663	600	ACTED_IN	Doc Jay
8664	600	ACTED_IN	Poge Colonel
8665	600	ACTED_IN	Lt. Cleves
8666	600	ACTED_IN	T.H.E. Rock
8667	600	ACTED_IN	Donlon
8668	600	ACTED_IN	Da Nang Hooker
8669	600	ACTED_IN	Snowball
8670	600	ACTED_IN	VC Sniper
8671	600	ACTED_IN	ARVN Pimp
8672	600	ACTED_IN	Chili
9976	601	ACTED_IN	Elliott
9979	601	ACTED_IN	Keys
69597	601	ACTED_IN	Gertie
